"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"27.03.2020 12:00 - 27.03.2020 13:00","30548","30274"
"27.03.2020 13:00 - 27.03.2020 14:00","31035","30862"
"27.03.2020 14:00 - 27.03.2020 15:00","30259","30163"
"27.03.2020 15:00 - 27.03.2020 16:00","28361","28230"
"27.03.2020 16:00 - 27.03.2020 17:00","27151","27106"
"27.03.2020 17:00 - 27.03.2020 18:00","26659","26649"
"27.03.2020 18:00 - 27.03.2020 19:00","26688","26578"
"27.03.2020 19:00 - 27.03.2020 20:00","28006","28201"
"27.03.2020 20:00 - 27.03.2020 21:00","30143","30520"
"27.03.2020 21:00 - 27.03.2020 22:00","29971","30249"
"27.03.2020 22:00 - 27.03.2020 23:00","28066","28220"
"27.03.2020 23:00 - 28.03.2020 00:00","25996","25784"
"28.03.2020 00:00 - 28.03.2020 01:00","24612","24073"
"28.03.2020 01:00 - 28.03.2020 02:00","22965","22520"
"28.03.2020 02:00 - 28.03.2020 03:00","21753","21375"
"28.03.2020 03:00 - 28.03.2020 04:00","20937","20693"
"28.03.2020 04:00 - 28.03.2020 05:00","20580","20372"
"28.03.2020 05:00 - 28.03.2020 06:00","20329","20218"
"28.03.2020 06:00 - 28.03.2020 07:00","20382","20481"
"28.03.2020 07:00 - 28.03.2020 08:00","19922","20350"
"28.03.2020 08:00 - 28.03.2020 09:00","21353","21546"
"28.03.2020 09:00 - 28.03.2020 10:00","23977","23231"
"28.03.2020 10:00 - 28.03.2020 11:00","26148","24813"
"28.03.2020 11:00 - 28.03.2020 12:00","27111","25747"
"28.03.2020 12:00 - 28.03.2020 13:00","27419","26334"
"28.03.2020 13:00 - 28.03.2020 14:00","28052","27223"
"28.03.2020 14:00 - 28.03.2020 15:00","27622","27137"
"28.03.2020 15:00 - 28.03.2020 16:00","25456","25208"
"28.03.2020 16:00 - 28.03.2020 17:00","24148","23959"
"28.03.2020 17:00 - 28.03.2020 18:00","23648","23451"
"28.03.2020 18:00 - 28.03.2020 19:00","23877","23556"
"28.03.2020 19:00 - 28.03.2020 20:00","25498","25221"
"28.03.2020 20:00 - 28.03.2020 21:00","27848","27886"
"28.03.2020 21:00 - 28.03.2020 22:00","27946","28132"
"28.03.2020 22:00 - 28.03.2020 23:00","26585","26606"
"28.03.2020 23:00 - 29.03.2020 00:00","24838","24267"
"29.03.2020 00:00 - 29.03.2020 01:00","22812","22429"
"29.03.2020 01:00 - 29.03.2020 02:00","20445","20644"
"29.03.2020 02:00 - 29.03.2020 03:00","",""
"29.03.2020 03:00 - 29.03.2020 04:00","19443","19592"
"29.03.2020 04:00 - 29.03.2020 05:00","19106","18914"
"29.03.2020 05:00 - 29.03.2020 06:00","18875","18658"
"29.03.2020 06:00 - 29.03.2020 07:00","18889","18857"
"29.03.2020 07:00 - 29.03.2020 08:00","18298","19125"
"29.03.2020 08:00 - 29.03.2020 09:00","18883","18827"
"29.03.2020 09:00 - 29.03.2020 10:00","20674","19852"
"29.03.2020 10:00 - 29.03.2020 11:00","22719","21486"
"29.03.2020 11:00 - 29.03.2020 12:00","23999","23170"
"29.03.2020 12:00 - 29.03.2020 13:00","24693","24157"
"29.03.2020 13:00 - 29.03.2020 14:00","25586","25083"
"29.03.2020 14:00 - 29.03.2020 15:00","25575","25632"
"29.03.2020 15:00 - 29.03.2020 16:00","23680","23982"
"29.03.2020 16:00 - 29.03.2020 17:00","22372","22495"
"29.03.2020 17:00 - 29.03.2020 18:00","22024","21853"
"29.03.2020 18:00 - 29.03.2020 19:00","22075","21757"
"29.03.2020 19:00 - 29.03.2020 20:00","23270","22332"
"29.03.2020 20:00 - 29.03.2020 21:00","26067","24561"
"29.03.2020 21:00 - 29.03.2020 22:00","27743","27085"
"29.03.2020 22:00 - 29.03.2020 23:00","26751","25769"
"29.03.2020 23:00 - 30.03.2020 00:00","24479","23928"
"30.03.2020 00:00 - 30.03.2020 01:00","22278","22100"
"30.03.2020 01:00 - 30.03.2020 02:00","20913","20596"
"30.03.2020 02:00 - 30.03.2020 03:00","20402","19414"
"30.03.2020 03:00 - 30.03.2020 04:00","19850","18655"
"30.03.2020 04:00 - 30.03.2020 05:00","19703","18417"
"30.03.2020 05:00 - 30.03.2020 06:00","20139","18672"
"30.03.2020 06:00 - 30.03.2020 07:00","22519","20026"
"30.03.2020 07:00 - 30.03.2020 08:00","24959","21590"
"30.03.2020 08:00 - 30.03.2020 09:00","26468","22370"
"30.03.2020 09:00 - 30.03.2020 10:00","27528","24277"
"30.03.2020 10:00 - 30.03.2020 11:00","28852","25701"
"30.03.2020 11:00 - 30.03.2020 12:00","29734","26808"
"30.03.2020 12:00 - 30.03.2020 13:00","30591","27541"
"30.03.2020 13:00 - 30.03.2020 14:00","31387","28309"
"30.03.2020 14:00 - 30.03.2020 15:00","30860","28289"
"30.03.2020 15:00 - 30.03.2020 16:00","29411","26620"
"30.03.2020 16:00 - 30.03.2020 17:00","28434","25438"
"30.03.2020 17:00 - 30.03.2020 18:00","27791","24958"
"30.03.2020 18:00 - 30.03.2020 19:00","27237","25044"
"30.03.2020 19:00 - 30.03.2020 20:00","27391","25585"
"30.03.2020 20:00 - 30.03.2020 21:00","29824","27378"
"30.03.2020 21:00 - 30.03.2020 22:00","30818","28937"
"30.03.2020 22:00 - 30.03.2020 23:00","28821","26696"
"30.03.2020 23:00 - 31.03.2020 00:00","25834","24469"
"31.03.2020 00:00 - 31.03.2020 01:00","23637","22528"
"31.03.2020 01:00 - 31.03.2020 02:00","21469","20873"
"31.03.2020 02:00 - 31.03.2020 03:00","20726","19689"
"31.03.2020 03:00 - 31.03.2020 04:00","20158","19031"
"31.03.2020 04:00 - 31.03.2020 05:00","19902","18765"
"31.03.2020 05:00 - 31.03.2020 06:00","20092","19011"
"31.03.2020 06:00 - 31.03.2020 07:00","21396","20137"
"31.03.2020 07:00 - 31.03.2020 08:00","22823","21582"
"31.03.2020 08:00 - 31.03.2020 09:00","23977","22698"
"31.03.2020 09:00 - 31.03.2020 10:00","25895","24666"
"31.03.2020 10:00 - 31.03.2020 11:00","27329","26096"
"31.03.2020 11:00 - 31.03.2020 12:00","28354","27089"
"31.03.2020 12:00 - 31.03.2020 13:00","29264","28029"
"31.03.2020 13:00 - 31.03.2020 14:00","30156","28715"
"31.03.2020 14:00 - 31.03.2020 15:00","29841","28492"
"31.03.2020 15:00 - 31.03.2020 16:00","27956","26634"
"31.03.2020 16:00 - 31.03.2020 17:00","26708","25370"
"31.03.2020 17:00 - 31.03.2020 18:00","26195","24892"
"31.03.2020 18:00 - 31.03.2020 19:00","25987","24998"
"31.03.2020 19:00 - 31.03.2020 20:00","26596","25373"
"31.03.2020 20:00 - 31.03.2020 21:00","28782","27062"
"31.03.2020 21:00 - 31.03.2020 22:00","30061","28822"
"31.03.2020 22:00 - 31.03.2020 23:00","27937","26584"
"31.03.2020 23:00 - 01.04.2020 00:00","25514","24406"
"01.04.2020 00:00 - 01.04.2020 01:00","22898","22447"
"01.04.2020 01:00 - 01.04.2020 02:00","21036","20733"
"01.04.2020 02:00 - 01.04.2020 03:00","20111","19589"
"01.04.2020 03:00 - 01.04.2020 04:00","19493","19065"
"01.04.2020 04:00 - 01.04.2020 05:00","19240","18813"
"01.04.2020 05:00 - 01.04.2020 06:00","19490","18955"
"01.04.2020 06:00 - 01.04.2020 07:00","20812","20065"
"01.04.2020 07:00 - 01.04.2020 08:00","22304","21492"
"01.04.2020 08:00 - 01.04.2020 09:00","23648","22467"
"01.04.2020 09:00 - 01.04.2020 10:00","25491","24451"
"01.04.2020 10:00 - 01.04.2020 11:00","26865","25827"
"01.04.2020 11:00 - 01.04.2020 12:00","27695","26680"
"01.04.2020 12:00 - 01.04.2020 13:00","28532","27262"
"01.04.2020 13:00 - 01.04.2020 14:00","29336","27967"
"01.04.2020 14:00 - 01.04.2020 15:00","29028","27788"
"01.04.2020 15:00 - 01.04.2020 16:00","27206","26060"
"01.04.2020 16:00 - 01.04.2020 17:00","26048","24842"
"01.04.2020 17:00 - 01.04.2020 18:00","25516","24290"
"01.04.2020 18:00 - 01.04.2020 19:00","25189","24374"
"01.04.2020 19:00 - 01.04.2020 20:00","25621","24833"
"01.04.2020 20:00 - 01.04.2020 21:00","27445","26673"
"01.04.2020 21:00 - 01.04.2020 22:00","29102","28493"
"01.04.2020 22:00 - 01.04.2020 23:00","27036","26426"
"01.04.2020 23:00 - 02.04.2020 00:00","24666","24362"
"02.04.2020 00:00 - 02.04.2020 01:00","22661","22415"
"02.04.2020 01:00 - 02.04.2020 02:00","20983","20679"
"02.04.2020 02:00 - 02.04.2020 03:00","20042","19562"
"02.04.2020 03:00 - 02.04.2020 04:00","19450","18939"
"02.04.2020 04:00 - 02.04.2020 05:00","19199","18628"
"02.04.2020 05:00 - 02.04.2020 06:00","19440","18792"
"02.04.2020 06:00 - 02.04.2020 07:00","20698","20009"
"02.04.2020 07:00 - 02.04.2020 08:00","21994","21564"
"02.04.2020 08:00 - 02.04.2020 09:00","23185","22572"
"02.04.2020 09:00 - 02.04.2020 10:00","24998","24296"
"02.04.2020 10:00 - 02.04.2020 11:00","26426","25618"
"02.04.2020 11:00 - 02.04.2020 12:00","27327","26443"
"02.04.2020 12:00 - 02.04.2020 13:00","28300","27104"
"02.04.2020 13:00 - 02.04.2020 14:00","29025","27687"
"02.04.2020 14:00 - 02.04.2020 15:00","28745","27356"
"02.04.2020 15:00 - 02.04.2020 16:00","26956","25659"
"02.04.2020 16:00 - 02.04.2020 17:00","25774","24383"
"02.04.2020 17:00 - 02.04.2020 18:00","25241","24067"
"02.04.2020 18:00 - 02.04.2020 19:00","24941","24088"
"02.04.2020 19:00 - 02.04.2020 20:00","25389","24273"
"02.04.2020 20:00 - 02.04.2020 21:00","27249","26178"
"02.04.2020 21:00 - 02.04.2020 22:00","28965","28180"
"02.04.2020 22:00 - 02.04.2020 23:00","26972","26137"
"02.04.2020 23:00 - 03.04.2020 00:00","24690","24195"
"03.04.2020 00:00 - 03.04.2020 01:00","22494","22261"
"03.04.2020 01:00 - 03.04.2020 02:00","20826","20466"
"03.04.2020 02:00 - 03.04.2020 03:00","19883","19293"
"03.04.2020 03:00 - 03.04.2020 04:00","19288","18696"
"03.04.2020 04:00 - 03.04.2020 05:00","19038","18475"
"03.04.2020 05:00 - 03.04.2020 06:00","19279","18523"
"03.04.2020 06:00 - 03.04.2020 07:00","20512","19831"
"03.04.2020 07:00 - 03.04.2020 08:00","21857","21311"
"03.04.2020 08:00 - 03.04.2020 09:00","23025","22395"
"03.04.2020 09:00 - 03.04.2020 10:00","24902","24251"
"03.04.2020 10:00 - 03.04.2020 11:00","26258","25334"
"03.04.2020 11:00 - 03.04.2020 12:00","27076","25996"
"03.04.2020 12:00 - 03.04.2020 13:00","27854","26375"
"03.04.2020 13:00 - 03.04.2020 14:00","28418","26834"
"03.04.2020 14:00 - 03.04.2020 15:00","28028","26603"
"03.04.2020 15:00 - 03.04.2020 16:00","26099","24736"
"03.04.2020 16:00 - 03.04.2020 17:00","24871","23544"
"03.04.2020 17:00 - 03.04.2020 18:00","24309","23011"
"03.04.2020 18:00 - 03.04.2020 19:00","24075","23029"
"03.04.2020 19:00 - 03.04.2020 20:00","24231","23213"
"03.04.2020 20:00 - 03.04.2020 21:00","26039","24898"
"03.04.2020 21:00 - 03.04.2020 22:00","27868","27380"
"03.04.2020 22:00 - 03.04.2020 23:00","26085","25505"
"03.04.2020 23:00 - 04.04.2020 00:00","24202","23572"
"04.04.2020 00:00 - 04.04.2020 01:00","22181","21767"
"04.04.2020 01:00 - 04.04.2020 02:00","20442","20043"
"04.04.2020 02:00 - 04.04.2020 03:00","19241","18840"
"04.04.2020 03:00 - 04.04.2020 04:00","18552","18115"
"04.04.2020 04:00 - 04.04.2020 05:00","18082","17740"
"04.04.2020 05:00 - 04.04.2020 06:00","17786","17539"
"04.04.2020 06:00 - 04.04.2020 07:00","17757","18157"
"04.04.2020 07:00 - 04.04.2020 08:00","17613","18522"
"04.04.2020 08:00 - 04.04.2020 09:00","18404","18891"
"04.04.2020 09:00 - 04.04.2020 10:00","20508","20677"
"04.04.2020 10:00 - 04.04.2020 11:00","22093","22311"
"04.04.2020 11:00 - 04.04.2020 12:00","23125","23391"
"04.04.2020 12:00 - 04.04.2020 13:00","23825","24089"
"04.04.2020 13:00 - 04.04.2020 14:00","24570","24867"
"04.04.2020 14:00 - 04.04.2020 15:00","24543","25053"
"04.04.2020 15:00 - 04.04.2020 16:00","22523","23257"
"04.04.2020 16:00 - 04.04.2020 17:00","21197","22088"
"04.04.2020 17:00 - 04.04.2020 18:00","20633","21643"
"04.04.2020 18:00 - 04.04.2020 19:00","20767","21442"
"04.04.2020 19:00 - 04.04.2020 20:00","21182","21754"
"04.04.2020 20:00 - 04.04.2020 21:00","23075","23630"
"04.04.2020 21:00 - 04.04.2020 22:00","25285","26008"
"04.04.2020 22:00 - 04.04.2020 23:00","24093","24340"
"04.04.2020 23:00 - 05.04.2020 00:00","22421","22408"
"05.04.2020 00:00 - 05.04.2020 01:00","20415","20731"
"05.04.2020 01:00 - 05.04.2020 02:00","18832","19072"
"05.04.2020 02:00 - 05.04.2020 03:00","17766","17931"
"05.04.2020 03:00 - 05.04.2020 04:00","17026","17235"
"05.04.2020 04:00 - 05.04.2020 05:00","16619","16902"
"05.04.2020 05:00 - 05.04.2020 06:00","16420","16725"
"05.04.2020 06:00 - 05.04.2020 07:00","16480","17127"
"05.04.2020 07:00 - 05.04.2020 08:00","16382","17277"
"05.04.2020 08:00 - 05.04.2020 09:00","16595","17365"
"05.04.2020 09:00 - 05.04.2020 10:00","18239","18920"
"05.04.2020 10:00 - 05.04.2020 11:00","20041","20426"
"05.04.2020 11:00 - 05.04.2020 12:00","21227","21972"
"05.04.2020 12:00 - 05.04.2020 13:00","21984","23051"
"05.04.2020 13:00 - 05.04.2020 14:00","22967","24210"
"05.04.2020 14:00 - 05.04.2020 15:00","23292","24203"
"05.04.2020 15:00 - 05.04.2020 16:00","21585","22184"
"05.04.2020 16:00 - 05.04.2020 17:00","20421","20913"
"05.04.2020 17:00 - 05.04.2020 18:00","19931","20310"
"05.04.2020 18:00 - 05.04.2020 19:00","20090","20227"
"05.04.2020 19:00 - 05.04.2020 20:00","20391","20837"
"05.04.2020 20:00 - 05.04.2020 21:00","22202","22848"
"05.04.2020 21:00 - 05.04.2020 22:00","24874","25381"
"05.04.2020 22:00 - 05.04.2020 23:00","23952","24136"
"05.04.2020 23:00 - 06.04.2020 00:00","22222","22359"
"06.04.2020 00:00 - 06.04.2020 01:00","20439","20679"
"06.04.2020 01:00 - 06.04.2020 02:00","19063","19118"
"06.04.2020 02:00 - 06.04.2020 03:00","18100","18012"
"06.04.2020 03:00 - 06.04.2020 04:00","17473","17496"
"06.04.2020 04:00 - 06.04.2020 05:00","17387","17339"
"06.04.2020 05:00 - 06.04.2020 06:00","17744","17638"
"06.04.2020 06:00 - 06.04.2020 07:00","19409","19097"
"06.04.2020 07:00 - 06.04.2020 08:00","20778","20500"
"06.04.2020 08:00 - 06.04.2020 09:00","21570","21524"
"06.04.2020 09:00 - 06.04.2020 10:00","23652","23257"
"06.04.2020 10:00 - 06.04.2020 11:00","24987","24510"
"06.04.2020 11:00 - 06.04.2020 12:00","26072","25349"
"06.04.2020 12:00 - 06.04.2020 13:00","27052","26131"
"06.04.2020 13:00 - 06.04.2020 14:00","28059","26688"
"06.04.2020 14:00 - 06.04.2020 15:00","27927","26304"
"06.04.2020 15:00 - 06.04.2020 16:00","26098","24649"
"06.04.2020 16:00 - 06.04.2020 17:00","24915","23458"
"06.04.2020 17:00 - 06.04.2020 18:00","24332","22827"
"06.04.2020 18:00 - 06.04.2020 19:00","23897","22805"
"06.04.2020 19:00 - 06.04.2020 20:00","23640","23307"
"06.04.2020 20:00 - 06.04.2020 21:00","25045","25094"
"06.04.2020 21:00 - 06.04.2020 22:00","27313","27091"
"06.04.2020 22:00 - 06.04.2020 23:00","25380","25074"
"06.04.2020 23:00 - 07.04.2020 00:00","23181","22988"
"07.04.2020 00:00 - 07.04.2020 01:00","21451","21428"
"07.04.2020 01:00 - 07.04.2020 02:00","19774","19839"
"07.04.2020 02:00 - 07.04.2020 03:00","18733","18855"
"07.04.2020 03:00 - 07.04.2020 04:00","18172","18311"
"07.04.2020 04:00 - 07.04.2020 05:00","17978","17994"
"07.04.2020 05:00 - 07.04.2020 06:00","18112","18175"
"07.04.2020 06:00 - 07.04.2020 07:00","19261","19373"
"07.04.2020 07:00 - 07.04.2020 08:00","20257","20541"
"07.04.2020 08:00 - 07.04.2020 09:00","21100","21307"
"07.04.2020 09:00 - 07.04.2020 10:00","23053","22952"
"07.04.2020 10:00 - 07.04.2020 11:00","24281","24122"
"07.04.2020 11:00 - 07.04.2020 12:00","25173","24977"
"07.04.2020 12:00 - 07.04.2020 13:00","26047","25578"
"07.04.2020 13:00 - 07.04.2020 14:00","26851","26257"
"07.04.2020 14:00 - 07.04.2020 15:00","26549","25933"
"07.04.2020 15:00 - 07.04.2020 16:00","24798","24259"
"07.04.2020 16:00 - 07.04.2020 17:00","23706","23217"
"07.04.2020 17:00 - 07.04.2020 18:00","23136","22684"
"07.04.2020 18:00 - 07.04.2020 19:00","22870","22526"
"07.04.2020 19:00 - 07.04.2020 20:00","22809","22827"
"07.04.2020 20:00 - 07.04.2020 21:00","24383","24497"
"07.04.2020 21:00 - 07.04.2020 22:00","26688","26545"
"07.04.2020 22:00 - 07.04.2020 23:00","24767","24713"
"07.04.2020 23:00 - 08.04.2020 00:00","22826","22780"
"08.04.2020 00:00 - 08.04.2020 01:00","21371","21194"
"08.04.2020 01:00 - 08.04.2020 02:00","19720","19745"
"08.04.2020 02:00 - 08.04.2020 03:00","18774","18757"
"08.04.2020 03:00 - 08.04.2020 04:00","18239","18203"
"08.04.2020 04:00 - 08.04.2020 05:00","17946","17955"
"08.04.2020 05:00 - 08.04.2020 06:00","18032","18134"
"08.04.2020 06:00 - 08.04.2020 07:00","19118","19399"
"08.04.2020 07:00 - 08.04.2020 08:00","20155","20435"
"08.04.2020 08:00 - 08.04.2020 09:00","20669","21204"
"08.04.2020 09:00 - 08.04.2020 10:00","22354","22729"
"08.04.2020 10:00 - 08.04.2020 11:00","23473","23846"
"08.04.2020 11:00 - 08.04.2020 12:00","24218","24540"
"08.04.2020 12:00 - 08.04.2020 13:00","24773","24974"
"08.04.2020 13:00 - 08.04.2020 14:00","25501","25539"
"08.04.2020 14:00 - 08.04.2020 15:00","25269","25250"
"08.04.2020 15:00 - 08.04.2020 16:00","23685","23543"
"08.04.2020 16:00 - 08.04.2020 17:00","22680","22437"
"08.04.2020 17:00 - 08.04.2020 18:00","22017","22010"
"08.04.2020 18:00 - 08.04.2020 19:00","21857","21973"
"08.04.2020 19:00 - 08.04.2020 20:00","21771","22190"
"08.04.2020 20:00 - 08.04.2020 21:00","23423","23756"
"08.04.2020 21:00 - 08.04.2020 22:00","25491","25950"
"08.04.2020 22:00 - 08.04.2020 23:00","23703","24183"
"08.04.2020 23:00 - 09.04.2020 00:00","22183","22327"
"09.04.2020 00:00 - 09.04.2020 01:00","21215","20825"
"09.04.2020 01:00 - 09.04.2020 02:00","19598","19346"
"09.04.2020 02:00 - 09.04.2020 03:00","18453","18264"
"09.04.2020 03:00 - 09.04.2020 04:00","17778","17758"
"09.04.2020 04:00 - 09.04.2020 05:00","17459","17448"
"09.04.2020 05:00 - 09.04.2020 06:00","17114","17387"
"09.04.2020 06:00 - 09.04.2020 07:00","17331","18116"
"09.04.2020 07:00 - 09.04.2020 08:00","17023","18552"
"09.04.2020 08:00 - 09.04.2020 09:00","17027","18709"
"09.04.2020 09:00 - 09.04.2020 10:00","18581","20341"
"09.04.2020 10:00 - 09.04.2020 11:00","19950","21985"
"09.04.2020 11:00 - 09.04.2020 12:00","20792","23179"
"09.04.2020 12:00 - 09.04.2020 13:00","21447","23998"
"09.04.2020 13:00 - 09.04.2020 14:00","22324","24885"
"09.04.2020 14:00 - 09.04.2020 15:00","22401","24726"
"09.04.2020 15:00 - 09.04.2020 16:00","20443","22837"
"09.04.2020 16:00 - 09.04.2020 17:00","19135","21608"
"09.04.2020 17:00 - 09.04.2020 18:00","18594","21072"
"09.04.2020 18:00 - 09.04.2020 19:00","18728","20964"
"09.04.2020 19:00 - 09.04.2020 20:00","19111","21318"
"09.04.2020 20:00 - 09.04.2020 21:00","21066","23010"
"09.04.2020 21:00 - 09.04.2020 22:00","23622","25172"
"09.04.2020 22:00 - 09.04.2020 23:00","22722","23425"
"09.04.2020 23:00 - 10.04.2020 00:00","21324","21638"
"10.04.2020 00:00 - 10.04.2020 01:00","20097","20321"
"10.04.2020 01:00 - 10.04.2020 02:00","18598","18986"
"10.04.2020 02:00 - 10.04.2020 03:00","17389","17828"
"10.04.2020 03:00 - 10.04.2020 04:00","16674","17211"
"10.04.2020 04:00 - 10.04.2020 05:00","16177","16944"
"10.04.2020 05:00 - 10.04.2020 06:00","16077","16972"
"10.04.2020 06:00 - 10.04.2020 07:00","16008","17444"
"10.04.2020 07:00 - 10.04.2020 08:00","15602","17546"
"10.04.2020 08:00 - 10.04.2020 09:00","15330","17527"
"10.04.2020 09:00 - 10.04.2020 10:00","16880","18927"
"10.04.2020 10:00 - 10.04.2020 11:00","18508","20687"
"10.04.2020 11:00 - 10.04.2020 12:00","19323","21982"
"10.04.2020 12:00 - 10.04.2020 13:00","19996","22897"
"10.04.2020 13:00 - 10.04.2020 14:00","20857","23867"
"10.04.2020 14:00 - 10.04.2020 15:00","21027","23763"
"10.04.2020 15:00 - 10.04.2020 16:00","18983","21768"
"10.04.2020 16:00 - 10.04.2020 17:00","17897","20311"
"10.04.2020 17:00 - 10.04.2020 18:00","17413","19761"
"10.04.2020 18:00 - 10.04.2020 19:00","17587","19868"
"10.04.2020 19:00 - 10.04.2020 20:00","17974","20275"
"10.04.2020 20:00 - 10.04.2020 21:00","19932","21972"
"10.04.2020 21:00 - 10.04.2020 22:00","22498","24431"
"10.04.2020 22:00 - 10.04.2020 23:00","21608","23035"
"10.04.2020 23:00 - 11.04.2020 00:00","20055","21293"
"11.04.2020 00:00 - 11.04.2020 01:00","19727","20020"
"11.04.2020 01:00 - 11.04.2020 02:00","18382","18701"
"11.04.2020 02:00 - 11.04.2020 03:00","17316","17735"
"11.04.2020 03:00 - 11.04.2020 04:00","16722","17166"
"11.04.2020 04:00 - 11.04.2020 05:00","16474","16976"
"11.04.2020 05:00 - 11.04.2020 06:00","16566","16966"
"11.04.2020 06:00 - 11.04.2020 07:00","17160","17574"
"11.04.2020 07:00 - 11.04.2020 08:00","17505","17776"
"11.04.2020 08:00 - 11.04.2020 09:00","18021","18255"
"11.04.2020 09:00 - 11.04.2020 10:00","19437","19971"
"11.04.2020 10:00 - 11.04.2020 11:00","21301","21561"
"11.04.2020 11:00 - 11.04.2020 12:00","22533","22543"
"11.04.2020 12:00 - 11.04.2020 13:00","23453","23331"
"11.04.2020 13:00 - 11.04.2020 14:00","24733","24124"
"11.04.2020 14:00 - 11.04.2020 15:00","24954","24137"
"11.04.2020 15:00 - 11.04.2020 16:00","23181","22314"
"11.04.2020 16:00 - 11.04.2020 17:00","22039","21086"
"11.04.2020 17:00 - 11.04.2020 18:00","21618","20530"
"11.04.2020 18:00 - 11.04.2020 19:00","21555","20530"
"11.04.2020 19:00 - 11.04.2020 20:00","21834","20736"
"11.04.2020 20:00 - 11.04.2020 21:00","23671","22232"
"11.04.2020 21:00 - 11.04.2020 22:00","25526","24755"
"11.04.2020 22:00 - 11.04.2020 23:00","23987","23263"
"11.04.2020 23:00 - 12.04.2020 00:00","21907","21437"
"12.04.2020 00:00 - 12.04.2020 01:00","20359","19964"
"12.04.2020 01:00 - 12.04.2020 02:00","18599","18639"
"12.04.2020 02:00 - 12.04.2020 03:00","17441","17570"
"12.04.2020 03:00 - 12.04.2020 04:00","16792","16926"
"12.04.2020 04:00 - 12.04.2020 05:00","16472","16594"
"12.04.2020 05:00 - 12.04.2020 06:00","16368","16575"
"12.04.2020 06:00 - 12.04.2020 07:00","16664","16849"
"12.04.2020 07:00 - 12.04.2020 08:00","16828","16727"
"12.04.2020 08:00 - 12.04.2020 09:00","16736","16786"
"12.04.2020 09:00 - 12.04.2020 10:00","18078","18226"
"12.04.2020 10:00 - 12.04.2020 11:00","19607","20019"
"12.04.2020 11:00 - 12.04.2020 12:00","20869","21340"
"12.04.2020 12:00 - 12.04.2020 13:00","21700","22299"
"12.04.2020 13:00 - 12.04.2020 14:00","22580","23512"
"12.04.2020 14:00 - 12.04.2020 15:00","22476","23527"
"12.04.2020 15:00 - 12.04.2020 16:00","20638","21358"
"12.04.2020 16:00 - 12.04.2020 17:00","19393","20043"
"12.04.2020 17:00 - 12.04.2020 18:00","19043","19496"
"12.04.2020 18:00 - 12.04.2020 19:00","19290","19640"
"12.04.2020 19:00 - 12.04.2020 20:00","19676","20069"
"12.04.2020 20:00 - 12.04.2020 21:00","21488","21690"
"12.04.2020 21:00 - 12.04.2020 22:00","24277","24291"
"12.04.2020 22:00 - 12.04.2020 23:00","22863","22952"
"12.04.2020 23:00 - 13.04.2020 00:00","20981","21375"
"13.04.2020 00:00 - 13.04.2020 01:00","19974","19954"
"13.04.2020 01:00 - 13.04.2020 02:00","18431","18409"
"13.04.2020 02:00 - 13.04.2020 03:00","17374","17513"
"13.04.2020 03:00 - 13.04.2020 04:00","16796","16995"
"13.04.2020 04:00 - 13.04.2020 05:00","16627","16779"
"13.04.2020 05:00 - 13.04.2020 06:00","16804","17022"
"13.04.2020 06:00 - 13.04.2020 07:00","17835","18196"
"13.04.2020 07:00 - 13.04.2020 08:00","18889","19043"
"13.04.2020 08:00 - 13.04.2020 09:00","19233","19777"
"13.04.2020 09:00 - 13.04.2020 10:00","20676","21558"
"13.04.2020 10:00 - 13.04.2020 11:00","22065","22981"
"13.04.2020 11:00 - 13.04.2020 12:00","23093","24053"
"13.04.2020 12:00 - 13.04.2020 13:00","23913","24626"
"13.04.2020 13:00 - 13.04.2020 14:00","24940","25450"
"13.04.2020 14:00 - 13.04.2020 15:00","24833","25098"
"13.04.2020 15:00 - 13.04.2020 16:00","22919","23219"
"13.04.2020 16:00 - 13.04.2020 17:00","21586","22131"
"13.04.2020 17:00 - 13.04.2020 18:00","20974","21712"
"13.04.2020 18:00 - 13.04.2020 19:00","21126","21816"
"13.04.2020 19:00 - 13.04.2020 20:00","21563","22189"
"13.04.2020 20:00 - 13.04.2020 21:00","23299","23745"
"13.04.2020 21:00 - 13.04.2020 22:00","25843","25921"
"13.04.2020 22:00 - 13.04.2020 23:00","24233","24322"
"13.04.2020 23:00 - 14.04.2020 00:00","21830","22481"
"14.04.2020 00:00 - 14.04.2020 01:00","20486","21117"
"14.04.2020 01:00 - 14.04.2020 02:00","19105","19697"
"14.04.2020 02:00 - 14.04.2020 03:00","18388","18811"
"14.04.2020 03:00 - 14.04.2020 04:00","17922","18306"
"14.04.2020 04:00 - 14.04.2020 05:00","17810","18160"
"14.04.2020 05:00 - 14.04.2020 06:00","18347","18439"
"14.04.2020 06:00 - 14.04.2020 07:00","20579","20121"
"14.04.2020 07:00 - 14.04.2020 08:00","22845","21690"
"14.04.2020 08:00 - 14.04.2020 09:00","24250","22932"
"14.04.2020 09:00 - 14.04.2020 10:00","25529","24728"
"14.04.2020 10:00 - 14.04.2020 11:00","26717","25804"
"14.04.2020 11:00 - 14.04.2020 12:00","27483","26548"
"14.04.2020 12:00 - 14.04.2020 13:00","28420","26956"
"14.04.2020 13:00 - 14.04.2020 14:00","29132","27516"
"14.04.2020 14:00 - 14.04.2020 15:00","28543","26865"
